CBSA,CBSA Code,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI
"Gainesville, FL",23540,182,156,25,1,0,0,0,105
"Gainesville, GA",23580,238,200,38,0,0,0,0,98
"Gardnerville Ranchos, NV",23820,182,179,3,0,0,0,0,55
"Gettysburg, PA",23900,245,210,35,0,0,0,0,74
"Gillette, WY",23940,274,232,41,1,0,0,0,117
"Glenwood Springs, CO",24060,201,143,58,0,0,0,0,97
"Grand Island, NE",24260,285,263,22,0,0,0,0,85
"Grand Junction, CO",24300,277,243,34,0,0,0,0,99
"Grand Rapids-Wyoming, MI",24340,183,152,26,5,0,0,0,150
"Grants Pass, OR",24420,187,167,20,0,0,0,0,89
"Great Falls, MT",24500,207,205,2,0,0,0,0,62
"Greeley, CO",24540,276,165,101,10,0,0,0,140
"Green Bay, WI",24580,182,151,30,1,0,0,0,119
"Greenfield Town, MA",24640,223,200,23,0,0,0,0,84
"Greensboro-High Point, NC",24660,274,257,17,0,0,0,0,87
"Greenville, NC",24780,271,255,16,0,0,0,0,95
"Greenville-Anderson-Mauldin, SC",24860,309,259,49,1,0,0,0,116
"Guayama, PR",25020,18,17,1,0,0,0,0,57
"Gulfport-Biloxi-Pascagoula, MS",25060,272,188,83,1,0,0,0,101
"Hagerstown-Martinsburg, MD-WV",25180,305,274,31,0,0,0,0,76
"Hailey, ID",25200,182,182,0,0,0,0,0,48
"Hammond, LA",25220,61,55,6,0,0,0,0,63
"Hanford-Corcoran, CA",25260,305,93,169,36,6,0,1,543
"Harrisburg-Carlisle, PA",25420,244,182,62,0,0,0,0,98
"Harrison, AR",25460,271,266,5,0,0,0,0,84
"Harrisonburg, VA",25500,272,269,3,0,0,0,0,61
"Hartford-West Hartford-East Hartford, CT",25540,183,154,29,0,0,0,0,97
"Hattiesburg, MS",25620,274,219,55,0,0,0,0,97
"Helena, MT",25740,214,198,16,0,0,0,0,67
"Hermiston-Pendleton, OR",25840,152,145,7,0,0,0,0,66
"Hickory-Lenoir-Morganton, NC",25860,274,250,24,0,0,0,0,94
"Hilo, HI",25900,244,242,2,0,0,0,0,58
"Hobbs, NM",26020,182,174,8,0,0,0,0,67
"Holland, MI",26090,175,158,13,4,0,0,0,136
"Homosassa Springs, FL",26140,179,154,24,1,0,0,0,125
"Hot Springs, AR",26300,91,80,11,0,0,0,0,83
"Houghton, MI",26340,20,20,0,0,0,0,0,35
"Houma-Thibodaux, LA",26380,274,212,62,0,0,0,0,90
"Houston-The Woodlands-Sugar Land, TX",26420,183,84,89,8,2,0,0,179
"Huntington-Ashland, WV-KY-OH",26580,274,248,26,0,0,0,0,100
"Huntsville, AL",26620,182,158,24,0,0,0,0,88
"Idaho Falls, ID",26820,244,221,22,1,0,0,0,126
"Indiana, PA",26860,237,224,12,1,0,0,0,112
"Indianapolis-Carmel-Anderson, IN",26900,275,153,118,4,0,0,0,115
"Iowa City, IA",26980,301,243,58,0,0,0,0,89
"Ithaca, NY",27060,242,239,3,0,0,0,0,58
"Jackson, MS",27140,285,203,81,1,0,0,0,114
"Jackson, TN",27180,176,172,3,1,0,0,0,108
"Jackson, WY-ID",27220,245,224,15,5,1,0,0,155
"Jacksonville, FL",27260,183,129,52,2,0,0,0,140
"Jamestown-Dunkirk-Fredonia, NY",27460,272,249,23,0,0,0,0,93
"Janesville-Beloit, WI",27500,99,90,6,3,0,0,0,105
"Jasper, IN",27540,93,80,13,0,0,0,0,67
"Jefferson City, MO",27620,153,142,11,0,0,0,0,87
"Johnstown, PA",27780,245,210,35,0,0,0,0,89
